City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Puerto Ayora,EC,-0.7393,-90.3518,72.79,75,95,8.57,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,68.95,60,56,8.97,broken clouds
2,Yellowknife,CA,62.456,-114.3525,64.92,59,40,12.66,scattered clouds
3,Avarua,CK,-21.2078,-159.775,75.25,64,20,9.22,few clouds
4,Taltal,CL,-25.4,-70.4833,57.04,85,41,1.32,scattered clouds
5,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
6,Beringovskiy,RU,63.05,179.3167,34.23,99,100,14.58,moderate rain
7,Prachuap Khiri Khan,TH,12.2167,99.75,91.58,46,100,11.77,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,75.25,75,100,13.82,overcast clouds
9,Berasia,IN,23.6333,77.4333,84.65,52,31,14.43,scattered clouds
10,Busselton,AU,-33.65,115.3333,56.08,63,97,21.54,overcast clouds
11,Mount Isa,AU,-20.7333,139.5,80.37,12,75,6.91,broken clouds
12,Lompoc,US,34.6391,-120.4579,69.1,88,40,9.22,fog
13,Northam,GB,51.0333,-4.2167,59.61,86,5,4.99,clear sky
14,Excelsior Springs,US,39.3392,-94.2261,76.08,75,0,3.6,clear sky
15,Tateyama,JP,34.9833,139.8667,78.15,77,97,12.64,overcast clouds
16,Murmashi,RU,68.8154,32.8115,52.21,76,0,4.47,clear sky
17,Fukue,JP,32.6881,128.8419,79.16,73,75,5.75,broken clouds
18,Qaanaaq,GL,77.484,-69.3632,30.4,75,49,3.42,scattered clouds
19,Albany,US,42.6001,-73.9662,67.17,82,88,5.73,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,49.48,92,98,3.29,light rain
21,Kamina,CD,-8.7386,24.9906,55.87,57,51,4.94,broken clouds
22,New Norfolk,AU,-42.7826,147.0587,58.66,82,98,1.14,overcast clouds
23,Port Alfred,ZA,-33.5906,26.891,59.5,88,79,13.0,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,37.51,81,75,14.97,broken clouds
25,Portland,US,45.5234,-122.6762,63.84,93,100,1.01,overcast clouds
26,Barrow,US,71.2906,-156.7887,36.23,85,97,15.03,overcast clouds
27,Middleton,GB,53.55,-2.2,65.84,82,33,3.8,scattered clouds
28,Camaqua,BR,-30.8511,-51.8122,52.7,83,1,3.53,clear sky
29,Namatanai,PG,-3.6667,152.4333,84.7,66,19,7.47,few clouds
30,Eitorf,DE,50.7667,7.45,55.58,88,5,3.91,clear sky
31,Port Blair,IN,11.6667,92.75,83.52,79,100,20.71,light rain
32,Georgetown,MY,5.4112,100.3354,87.75,75,20,10.36,light rain
33,Hilo,US,19.7297,-155.09,74.25,92,42,7.63,light rain
34,Cape Town,ZA,-33.9258,18.4232,54.88,96,15,1.99,few clouds
35,Vao,NC,-22.6667,167.4833,73.81,82,97,6.42,overcast clouds
36,Umm Lajj,SA,25.0213,37.2685,85.12,64,3,6.46,clear sky
37,Ushuaia,AR,-54.8,-68.3,30.83,89,91,5.32,overcast clouds
38,Joshimath,IN,30.5667,79.5667,76.66,51,1,6.53,clear sky
39,Anadyr,RU,64.75,177.4833,46.9,70,40,17.0,scattered clouds
40,Dzhebariki-Khaya,RU,62.2167,135.8,56.68,65,100,4.94,overcast clouds
41,Bani Walid,LY,31.7566,13.9942,63.63,62,0,3.89,clear sky
42,Ponta Do Sol,PT,32.6667,-17.1,68.72,73,93,4.74,overcast clouds
43,Praia,CV,14.9215,-23.5087,75.74,88,0,12.66,clear sky
44,Khatanga,RU,71.9667,102.5,40.15,91,100,15.84,light rain
45,Saskylakh,RU,71.9167,114.0833,49.68,40,74,13.27,broken clouds
46,Cabo San Lucas,MX,22.8909,-109.9124,82.51,81,77,4.65,broken clouds
47,Leningradskiy,RU,69.3833,178.4167,39.27,77,4,14.61,clear sky
48,Atuona,PF,-9.8,-139.0333,79.11,81,85,22.88,light rain
49,Saint-Philippe,RE,-21.3585,55.7679,72.95,75,81,16.84,broken clouds
50,Pimentel,PE,-6.8367,-79.9342,65.61,89,32,10.27,scattered clouds
51,Victoria,HK,22.2855,114.1577,89.96,77,98,8.99,overcast clouds
52,Tarakan,ID,3.3,117.6333,83.7,79,40,3.44,scattered clouds
53,Zyryanka,RU,65.75,150.85,83.03,22,18,14.56,few clouds
54,Ribeira Grande,PT,38.5167,-28.7,68.32,82,15,2.48,few clouds
55,Castro,BR,-24.7911,-50.0119,45.03,97,2,4.12,clear sky
56,Cherskiy,RU,68.75,161.3,63.88,30,76,10.18,broken clouds
57,Honningsvag,NO,70.9821,25.9704,46.15,66,40,25.32,scattered clouds
58,Vostok,RU,46.4856,135.8833,73.04,31,0,7.65,clear sky
59,Kokkola,FI,63.8385,23.1307,54.03,80,0,4.0,clear sky
60,Faanui,PF,-16.4833,-151.75,80.04,78,77,14.07,broken clouds
61,Riyadh,SA,24.6877,46.7219,89.65,15,0,12.66,clear sky
62,Yumen,CN,40.2833,97.2,77.97,26,100,12.21,overcast clouds
63,Sicuani,PE,-14.2694,-71.2261,42.03,75,8,2.15,clear sky
64,Hermanus,ZA,-34.4187,19.2345,51.91,84,2,6.51,clear sky
65,Klaksvik,FO,62.2266,-6.589,49.12,86,99,18.23,overcast clouds
66,Balyaga,RU,51.1507,108.921,67.86,37,61,7.02,broken clouds
67,Les Cayes,HT,18.2,-73.75,77.52,84,96,4.65,overcast clouds
68,Norman Wells,CA,65.282,-126.8329,51.84,71,75,11.5,broken clouds
69,San Pedro,PH,14.35,121.0167,89.31,67,20,10.36,few clouds
70,Tasiilaq,GL,65.6145,-37.6368,37.56,88,99,3.36,overcast clouds
71,Luderitz,NA,-26.6481,15.1594,62.87,61,2,5.35,clear sky
72,Shimoda,JP,34.6667,138.95,79.11,65,99,4.21,light rain
73,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.57,88,50,7.83,scattered clouds
74,Troitsko-Pechorsk,RU,62.7084,56.1964,70.07,64,69,8.77,broken clouds
75,Matay,EG,28.419,30.7792,71.98,56,0,12.06,clear sky
76,Pangnirtung,CA,66.1451,-65.7125,32.0,100,90,6.91,overcast clouds
77,Watertown,US,42.3709,-71.1828,67.19,74,1,1.01,clear sky
78,Bethel,US,41.3712,-73.414,66.09,77,88,4.88,overcast clouds
79,Nanortalik,GL,60.1432,-45.2371,34.32,92,48,5.41,scattered clouds
80,Kenai,US,60.5544,-151.2583,63.03,64,0,12.82,clear sky
81,Yeppoon,AU,-23.1333,150.7333,67.78,92,93,6.29,light rain
82,Dongning,CN,44.0622,131.1207,79.52,60,53,8.16,broken clouds
83,Quelimane,MZ,-17.8786,36.8883,62.44,92,0,4.25,clear sky
84,Srednekolymsk,RU,67.45,153.6833,79.16,25,83,7.27,broken clouds
85,Balabac,PH,7.9868,117.0645,86.79,66,55,8.43,broken clouds
86,Provideniya,RU,64.3833,-173.3,35.98,96,100,12.28,light rain
87,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,10.36,fog
88,Pflugerville,US,30.4394,-97.62,84.83,72,1,0.0,clear sky
89,Progreso,MX,21.2833,-89.6667,75.31,86,100,5.57,overcast clouds
90,Najran,SA,17.4924,44.1277,74.05,10,83,1.7,broken clouds
91,Challapata,BO,-18.9,-66.7667,36.66,19,0,2.62,clear sky
92,Lakhimpur,IN,27.95,80.7667,83.77,64,94,11.79,overcast clouds
93,Qaqortoq,GL,60.7167,-46.0333,43.3,93,22,7.2,few clouds
94,Bam,IR,29.106,58.357,98.73,9,0,3.36,clear sky
95,Mar Del Plata,AR,-38.0023,-57.5575,61.0,86,0,3.0,clear sky
96,Springfield,US,37.2153,-93.2982,71.62,87,12,6.76,few clouds
97,Talnakh,RU,69.4865,88.3972,44.38,83,89,10.36,overcast clouds
98,Severo-Kurilsk,RU,50.6789,156.125,44.04,94,100,15.55,light rain
99,Donskoye,RU,45.4552,41.9741,69.93,79,5,4.0,clear sky
100,Dingle,PH,10.9995,122.6711,88.18,64,66,4.29,broken clouds
101,Bengkulu,ID,-3.8004,102.2655,84.6,63,98,4.7,overcast clouds
102,Longyearbyen,SJ,78.2186,15.6401,33.64,60,75,12.66,broken clouds
103,Raudeberg,NO,61.9875,5.1352,52.2,94,100,21.16,overcast clouds
104,Benton Harbor,US,42.1167,-86.4542,68.11,78,1,6.98,clear sky
105,Maningrida,AU,-12.0667,134.2667,86.61,50,65,9.1,broken clouds
106,Walvis Bay,NA,-22.9575,14.5053,68.95,22,1,16.11,clear sky
107,Manadhoo,MV,5.7667,73.3833,83.66,73,100,14.03,overcast clouds
108,Tanete,ID,-3.9443,119.7848,84.67,66,99,3.31,overcast clouds
109,Torbay,CA,47.6666,-52.7314,47.57,89,90,14.97,overcast clouds
110,Bluff,NZ,-46.6,168.3333,49.8,87,98,4.21,light rain
111,Youkounkoun,GN,12.5333,-13.1333,73.85,89,100,7.16,overcast clouds
112,Souillac,MU,-20.5167,57.5167,75.36,68,40,14.97,scattered clouds
113,Manokwari,ID,-0.8667,134.0833,80.74,75,97,4.23,overcast clouds
114,Cayenne,GF,4.9333,-52.3333,75.24,91,75,0.0,broken clouds
115,Antofagasta,CL,-23.65,-70.4,58.28,84,25,2.51,scattered clouds
116,Laguna De Perlas,NI,12.3429,-83.6712,79.27,84,100,5.88,overcast clouds
117,Meulaboh,ID,4.1363,96.1285,84.94,68,96,2.35,overcast clouds
118,Salalah,OM,17.0151,54.0924,84.29,84,75,2.3,broken clouds
119,Malpe,IN,13.35,74.7167,76.3,82,100,16.4,light rain
120,Tazovskiy,RU,67.4667,78.7,66.0,48,47,9.95,scattered clouds
121,Lavrentiya,RU,65.5833,-171.0,35.22,98,100,9.53,light rain
122,Jinchang,CN,38.4953,102.1739,75.72,36,0,10.49,clear sky
123,Dikson,RU,73.5069,80.5464,32.38,99,100,10.74,overcast clouds
124,Hithadhoo,MV,-0.6,73.0833,82.74,73,72,9.71,broken clouds
125,Khasan,RU,42.4308,130.6434,65.05,85,70,10.27,broken clouds
126,Kyzyl-Suu,KG,42.3414,78.0056,57.22,50,0,5.73,clear sky
127,Lagoa,PT,39.05,-27.9833,66.7,82,6,2.08,clear sky
128,Berkovica,BA,44.6156,18.4294,50.31,90,5,4.27,clear sky
129,Fortuna,US,40.5982,-124.1573,66.47,70,90,3.44,light rain
130,Camopi,GF,3.1655,-52.3158,71.19,99,98,1.41,overcast clouds
131,Jamestown,US,42.097,-79.2353,64.02,75,4,1.99,clear sky
132,Port Hedland,AU,-20.3167,118.5667,84.25,24,75,13.8,broken clouds
133,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,10.36,clear sky
134,Sitka,US,57.0531,-135.33,59.47,67,72,4.63,broken clouds
135,Muirkirk,GB,55.5227,-4.0655,50.04,98,100,9.93,overcast clouds
136,Nemuro,JP,43.3236,145.575,64.83,94,82,7.9,broken clouds
137,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,76,75,4.47,broken clouds
138,Deputatskiy,RU,69.3,139.9,62.13,34,100,1.45,overcast clouds
139,Vardo,NO,70.3705,31.1107,46.47,68,80,15.17,broken clouds
140,Karratha,AU,-20.7377,116.8463,79.18,31,5,14.56,clear sky
141,Vestmannaeyjar,IS,63.4427,-20.2734,43.38,78,100,5.88,light rain
142,Akdepe,TM,42.0551,59.3788,84.29,11,0,18.41,clear sky
143,Bredasdorp,ZA,-34.5322,20.0403,45.72,87,0,4.61,clear sky
144,Genhe,CN,50.7833,121.5167,77.11,45,100,6.51,overcast clouds
145,Zabol,AF,32.25,67.25,75.81,12,0,5.32,clear sky
146,Zyrardow,PL,52.0488,20.446,55.99,100,2,8.01,clear sky
147,Novo Aripuana,BR,-5.1206,-60.3797,75.52,83,98,2.57,overcast clouds
148,Hobart,AU,-42.8794,147.3294,59.02,83,75,4.61,broken clouds
149,Broken Hill,AU,-31.95,141.4333,66.31,30,84,13.51,broken clouds
150,Aksu,CN,41.1231,80.2644,75.9,28,26,3.18,scattered clouds
151,Butaritari,KI,3.0707,172.7902,82.4,76,31,9.6,light rain
152,Manggar,ID,-2.8833,108.2667,79.77,83,100,11.59,moderate rain
153,Hobyo,SO,5.3505,48.5268,78.01,84,99,21.09,overcast clouds
154,Matagami,CA,49.7502,-77.6328,60.91,63,90,2.3,overcast clouds
155,Nikolskoye,RU,59.7035,30.7861,62.02,75,86,4.18,overcast clouds
156,Galle,LK,6.0367,80.217,81.3,80,99,14.79,overcast clouds
157,Lokosovo,RU,61.1333,74.8167,75.6,40,98,10.49,overcast clouds
158,Sao Filipe,CV,14.8961,-24.4956,74.98,84,85,13.02,overcast clouds
159,Kedrovka,RU,55.5333,86.05,59.88,44,13,10.04,few clouds
160,Mezen,RU,65.8522,44.24,64.18,84,58,10.65,broken clouds
161,Rock Sound,BS,24.9,-76.2,81.41,81,100,11.92,light rain
162,Shimanovsk,RU,52.0,127.7,82.31,34,86,11.59,overcast clouds
163,Ternate,ID,0.8,127.4,81.77,75,100,2.08,overcast clouds
164,Requena,ES,39.4883,-1.1004,62.71,49,15,3.27,few clouds
165,Clyde River,CA,70.4692,-68.5914,28.63,100,90,5.75,light snow
166,Ulladulla,AU,-35.35,150.4667,62.87,63,55,4.65,broken clouds
167,Kimbe,PG,-5.5502,150.1429,90.21,49,0,3.69,clear sky
168,Buraydah,SA,26.326,43.975,81.05,18,0,5.48,clear sky
169,Taoudenni,ML,22.6783,-3.9836,96.98,11,0,9.22,clear sky
170,Bani,DO,18.2833,-70.3333,80.85,83,19,7.11,few clouds
171,Paracatu,BR,-17.2222,-46.8747,63.59,69,77,3.38,broken clouds
172,Padilla,CO,3.2204,-76.3139,67.57,91,100,3.04,overcast clouds
173,Teguldet,RU,57.3064,88.1667,62.38,36,6,7.9,clear sky
174,Bjorkelangen,NO,59.8848,11.5694,59.83,80,48,11.36,scattered clouds
175,Hongjiang,CN,27.11,109.9956,91.33,55,55,10.92,broken clouds
176,Dong Xoai,VN,11.5333,106.9167,85.66,70,90,5.68,overcast clouds
177,Sioux Lookout,CA,50.1001,-91.917,59.38,94,20,4.61,few clouds
178,Ca Mau,VN,9.1769,105.15,90.91,55,31,7.85,scattered clouds
179,Bambous Virieux,MU,-20.3428,57.7575,75.22,68,40,14.97,scattered clouds
180,Trincomalee,LK,8.5711,81.2335,85.77,63,100,21.18,overcast clouds
181,Ormara,PK,25.2088,64.6357,83.44,80,100,10.31,overcast clouds
182,Kavaratti,IN,10.5669,72.642,83.68,77,100,21.45,overcast clouds
183,Maniitsoq,GL,65.4167,-52.9,37.53,77,45,7.09,scattered clouds
184,Urumqi,CN,43.801,87.6005,56.35,63,75,8.95,broken clouds
185,Tiksi,RU,71.6872,128.8694,38.44,77,94,3.94,overcast clouds
186,Pevek,RU,69.7008,170.3133,39.11,73,100,7.7,overcast clouds
187,Carnarvon,AU,-24.8667,113.6333,71.67,57,2,16.11,clear sky
188,Robat Karim,IR,35.4846,51.0829,78.66,27,0,27.63,clear sky
189,Wellington,NZ,-41.2866,174.7756,59.05,87,75,11.5,drizzle
190,East London,ZA,-33.0153,27.9116,58.14,82,20,5.75,few clouds
191,Ancud,CL,-41.8697,-73.8203,36.43,75,5,5.01,clear sky
192,Lakselv,NO,70.0513,24.9718,49.82,57,40,4.61,scattered clouds
193,Acari,PE,-15.4311,-74.6158,65.32,72,7,1.68,clear sky
194,Touros,BR,-5.1989,-35.4608,74.07,90,53,8.23,broken clouds
195,Thunder Bay,CA,48.4001,-89.3168,64.38,59,75,11.5,broken clouds
196,Saint-Pierre,RE,-21.3393,55.4781,73.04,64,0,6.91,clear sky
197,Burnie,AU,-41.0667,145.9167,57.92,89,100,3.02,overcast clouds
198,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,84,20,12.66,few clouds
199,Leshan,CN,29.5623,103.7639,84.72,67,100,2.66,overcast clouds
200,Boyolangu,ID,-8.1181,111.8935,83.35,73,100,7.47,overcast clouds
201,Visby,SE,57.6409,18.296,57.85,88,0,5.75,clear sky
202,Jumla,NP,29.2747,82.1838,59.72,90,100,3.8,overcast clouds
203,Bojkovice,CZ,49.0386,17.8149,53.83,92,1,2.73,clear sky
204,North Bend,US,43.4065,-124.2243,60.93,93,90,0.0,light rain
205,Gushikawa,JP,26.3544,127.8686,77.0,94,75,0.0,light intensity drizzle
206,Cockburn Town,TC,21.4612,-71.1419,80.46,82,17,19.75,few clouds
207,Impfondo,CG,1.6381,18.0667,68.76,97,94,2.98,overcast clouds
208,Kargasok,RU,59.0556,80.8572,68.58,45,7,5.5,clear sky
209,Tullahoma,US,35.362,-86.2094,76.66,94,20,1.99,few clouds
210,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.23,76,97,9.31,overcast clouds
211,Bandarbeyla,SO,9.4942,50.8122,82.06,62,99,24.67,overcast clouds
212,Lindsay,US,36.203,-119.0882,85.71,56,5,5.03,clear sky
213,Esperance,AU,-33.8667,121.9,55.24,67,56,29.37,light rain
214,Yerbogachen,RU,61.2767,108.0108,63.16,56,99,10.67,light rain
215,Chuy,UY,-33.6971,-53.4616,54.48,90,0,6.06,clear sky
216,Kapaa,US,22.0752,-159.319,82.38,78,74,3.0,broken clouds
217,Banjar,ID,-8.19,114.9675,82.26,77,100,2.62,overcast clouds
218,Orlovskiy,RU,46.8714,42.0592,69.19,72,30,2.08,scattered clouds
219,Manakara,MG,-22.1333,48.0167,64.8,95,100,5.59,light rain
220,Barranca,PE,-10.75,-77.7667,64.15,84,3,6.62,clear sky
221,Lebu,CL,-37.6167,-73.65,48.58,79,100,18.86,overcast clouds
222,Slavsk,RU,55.0425,21.677,49.42,75,21,2.86,few clouds
223,Awbari,LY,26.5921,12.7805,75.83,29,0,6.73,clear sky
224,Changde,CN,29.0464,111.6783,92.7,60,65,12.44,broken clouds
225,Santa Rosa,PH,14.3122,121.1114,90.09,64,100,4.47,overcast clouds
226,Sakmara,RU,51.9844,55.3338,69.82,51,79,11.54,light rain
227,Richards Bay,ZA,-28.783,32.0377,65.44,41,0,4.88,clear sky
228,Varangaon,IN,21.0167,75.9,87.98,61,100,18.66,overcast clouds
229,Thompson,CA,55.7435,-97.8558,46.56,87,40,4.61,scattered clouds
230,Ballina,AU,-28.8667,153.5667,69.98,47,0,2.68,clear sky
231,Grand Gaube,MU,-20.0064,57.6608,75.38,61,22,7.0,few clouds
232,Upernavik,GL,72.7868,-56.1549,34.21,78,100,5.59,overcast clouds
233,Camana,PE,-16.6228,-72.7111,62.8,83,1,4.29,clear sky
